task,task_name,D,ep,T,nnz,nneg,n_multiflip,max_k,dropped,term_last,trunc_any,phi0,phi0_count,valid
0,turning_on_radio,1.0,0,1956,2,1,0,1,1,True,False,0.0,0.0,True
0,turning_on_radio,1.0,1,2340,1,0,0,1,0,True,False,0.0,0.0,True
0,turning_on_radio,1.0,2,2107,1,0,0,1,0,True,False,0.0,0.0,True
0,turning_on_radio,1.0,3,1875,1,0,0,1,0,True,False,0.0,0.0,True
0,turning_on_radio,1.0,4,1547,1,0,0,1,0,True,False,0.0,0.0,True
0,turning_on_radio,1.0,5,3227,1,0,0,1,0,True,False,0.0,0.0,True
0,turning_on_radio,1.0,6,2304,1,0,0,1,0,True,False,0.0,0.0,True
0,turning_on_radio,1.0,7,2585,1,0,0,1,0,True,False,0.0,0.0,True
0,turning_on_radio,1.0,8,2427,1,0,0,1,0,True,False,0.0,0.0,True
0,turning_on_radio,1.0,9,2277,1,0,0,1,0,True,False,0.0,0.0,True
0,turning_on_radio,1.0,10,2769,1,0,0,1,0,True,False,0.0,0.0,True
0,turning_on_radio,1.0,11,2288,1,0,0,1,0,True,False,0.0,0.0,True
0,turning_on_radio,1.0,12,1991,1,0,0,1,0,True,False,0.0,0.0,True
0,turning_on_radio,1.0,13,2604,1,0,0,1,0,True,False,0.0,0.0,True
0,turning_on_radio,1.0,14,2375,1,0,0,1,0,True,False,0.0,0.0,True
0,turning_on_radio,1.0,15,1861,1,0,0,1,0,True,False,0.0,0.0,True
0,turning_on_radio,1.0,16,2217,1,0,0,1,0,True,False,0.0,0.0,True
0,turning_on_radio,1.0,17,2399,1,0,0,1,0,True,False,0.0,0.0,True
0,turning_on_radio,1.0,18,1986,1,0,0,1,0,True,False,0.0,0.0,True
0,turning_on_radio,1.0,19,2565,2,1,0,1,1,True,False,0.0,0.0,True
0,turning_on_radio,1.0,20,1943,1,0,0,1,0,True,False,0.0,0.0,True
0,turning_on_radio,1.0,21,2048,1,0,0,1,0,True,False,0.0,0.0,True
0,turning_on_radio,1.0,22,2577,1,0,0,1,0,True,False,0.0,0.0,True
0,turning_on_radio,1.0,23,2175,2,1,0,1,1,True,False,0.0,0.0,True
0,turning_on_radio,1.0,24,1829,1,0,0,1,0,True,False,0.0,0.0,True
0,turning_on_radio,1.0,25,2176,2,1,0,1,1,True,False,0.0,0.0,True
0,turning_on_radio,1.0,26,1886,1,0,0,1,0,True,False,0.0,0.0,True
0,turning_on_radio,1.0,27,1951,1,0,0,1,0,True,False,0.0,0.0,True
0,turning_on_radio,1.0,28,2834,1,0,0,1,0,True,False,0.0,0.0,True
0,turning_on_radio,1.0,29,2923,1,0,0,1,0,True,False,0.0,0.0,True
0,turning_on_radio,1.0,30,2263,1,0,0,1,0,True,False,0.0,0.0,True
0,turning_on_radio,1.0,31,1650,2,1,0,1,1,True,False,0.0,0.0,True
0,turning_on_radio,1.0,32,2168,1,0,0,1,0,True,False,0.0,0.0,True
0,turning_on_radio,1.0,33,2751,1,0,0,1,0,True,False,0.0,0.0,True
0,turning_on_radio,1.0,34,1656,2,1,0,1,1,True,False,0.0,0.0,True
0,turning_on_radio,1.0,35,1770,1,0,0,1,0,True,False,0.0,0.0,True
0,turning_on_radio,1.0,36,2545,2,1,0,1,1,True,False,0.0,0.0,True
0,turning_on_radio,1.0,37,2236,1,0,0,1,0,True,False,0.0,0.0,True
0,turning_on_radio,1.0,38,2032,1,0,0,1,0,True,False,0.0,0.0,True
0,turning_on_radio,1.0,39,2287,1,0,0,1,0,True,False,0.0,0.0,True
0,turning_on_radio,1.0,40,2274,2,1,0,1,1,True,False,0.0,0.0,True
0,turning_on_radio,1.0,41,2218,1,0,0,1,0,True,False,0.0,0.0,True
0,turning_on_radio,1.0,42,1646,1,0,0,1,0,True,False,0.0,0.0,True
0,turning_on_radio,1.0,43,2655,1,0,0,1,0,True,False,0.0,0.0,True
0,turning_on_radio,1.0,44,2572,1,0,0,1,0,True,False,0.0,0.0,True
0,turning_on_radio,1.0,45,2289,1,0,0,1,0,True,False,0.0,0.0,True
0,turning_on_radio,1.0,46,2654,1,0,0,1,0,True,False,0.0,0.0,True
0,turning_on_radio,1.0,47,2037,1,0,0,1,0,True,False,0.0,0.0,True
0,turning_on_radio,1.0,48,2461,1,0,0,1,0,True,False,0.0,0.0,True
0,turning_on_radio,1.0,49,2632,1,0,0,1,0,True,False,0.0,0.0,True
0,turning_on_radio,1.0,50,1850,1,0,0,1,0,True,False,0.0,0.0,True
0,turning_on_radio,1.0,51,2305,1,0,0,1,0,True,False,0.0,0.0,True
0,turning_on_radio,1.0,52,2377,1,0,0,1,0,True,False,0.0,0.0,True
0,turning_on_radio,1.0,53,2566,1,0,0,1,0,True,False,0.0,0.0,True
0,turning_on_radio,1.0,54,2631,1,0,0,1,0,True,False,0.0,0.0,True
0,turning_on_radio,1.0,55,1930,1,0,0,1,0,True,False,0.0,0.0,True
0,turning_on_radio,1.0,56,1722,1,0,0,1,0,True,False,0.0,0.0,True
0,turning_on_radio,1.0,57,2826,1,0,0,1,0,True,False,0.0,0.0,True
0,turning_on_radio,1.0,58,2284,1,0,0,1,0,True,False,0.0,0.0,True
0,turning_on_radio,1.0,59,2263,1,0,0,1,0,True,False,0.0,0.0,True
0,turning_on_radio,1.0,60,1920,1,0,0,1,0,True,False,0.0,0.0,True
0,turning_on_radio,1.0,61,2431,1,0,0,1,0,True,False,0.0,0.0,True
0,turning_on_radio,1.0,62,2003,1,0,0,1,0,True,False,0.0,0.0,True
0,turning_on_radio,1.0,63,2114,1,0,0,1,0,True,False,0.0,0.0,True
0,turning_on_radio,1.0,64,2129,1,0,0,1,0,True,False,0.0,0.0,True
0,turning_on_radio,1.0,65,2079,1,0,0,1,0,True,False,0.0,0.0,True
0,turning_on_radio,1.0,66,2459,1,0,0,1,0,True,False,0.0,0.0,True
0,turning_on_radio,1.0,67,2099,1,0,0,1,0,True,False,0.0,0.0,True
0,turning_on_radio,1.0,68,2506,1,0,0,1,0,True,False,0.0,0.0,True
0,turning_on_radio,1.0,69,2180,1,0,0,1,0,True,False,0.0,0.0,True
0,turning_on_radio,1.0,70,2530,1,0,0,1,0,True,False,0.0,0.0,True
0,turning_on_radio,1.0,71,2517,2,1,0,1,1,True,False,0.0,0.0,True
0,turning_on_radio,1.0,72,2763,1,0,0,1,0,True,False,0.0,0.0,True
0,turning_on_radio,1.0,73,2339,1,0,0,1,0,True,False,0.0,0.0,True
0,turning_on_radio,1.0,74,2171,1,0,0,1,0,True,False,0.0,0.0,True
0,turning_on_radio,1.0,75,2567,1,0,0,1,0,True,False,0.0,0.0,True
0,turning_on_radio,1.0,76,2144,1,0,0,1,0,True,False,0.0,0.0,True
0,turning_on_radio,1.0,77,2837,1,0,0,1,0,True,False,0.0,0.0,True
0,turning_on_radio,1.0,78,2199,1,0,0,1,0,True,False,0.0,0.0,True
0,turning_on_radio,1.0,79,1993,1,0,0,1,0,True,False,0.0,0.0,True
0,turning_on_radio,1.0,80,2085,2,1,0,1,1,True,False,0.0,0.0,True
0,turning_on_radio,1.0,81,2643,2,1,0,1,1,True,False,0.0,0.0,True
0,turning_on_radio,1.0,82,2730,1,0,0,1,0,True,False,0.0,0.0,True
0,turning_on_radio,1.0,83,2432,1,0,0,1,0,True,False,0.0,0.0,True
0,turning_on_radio,1.0,84,2160,1,0,0,1,0,True,False,0.0,0.0,True
0,turning_on_radio,1.0,85,2663,1,0,0,1,0,True,False,0.0,0.0,True
0,turning_on_radio,1.0,86,2223,1,0,0,1,0,True,False,0.0,0.0,True
